"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 15 17:36:21 UTC 2022","Fri Apr 15 17:36:21 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_001",""
"failed","Fri Apr 15 17:36:21 UTC 2022","Fri Apr 15 17:36:21 UTC 2022","1","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_002",""
"broken","Fri Apr 15 17:36:52 UTC 2022","Fri Apr 15 17:37:23 UTC 2022","31005","Test.TestCase","test_swap","TestSwap","","","test_swap[USDT-1-DODO]",""
