"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 15 17:59:12 UTC 2022","Fri Apr 15 17:59:12 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_002",""
"broken","Fri Apr 15 17:59:45 UTC 2022","Fri Apr 15 17:59:48 UTC 2022","3073","Test.TestCase","test_swap","TestSwap","","","test_swap[USDT-1-DODO]",""
"passed","Fri Apr 15 17:59:12 UTC 2022","Fri Apr 15 17:59:12 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_001",""
