"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 15 18:43:34 UTC 2022","Fri Apr 15 18:43:34 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_002",""
"passed","Fri Apr 15 18:43:34 UTC 2022","Fri Apr 15 18:43:34 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_001",""
"passed","Fri Apr 15 18:44:02 UTC 2022","Fri Apr 15 18:44:18 UTC 2022","16073","Test.TestCase","test_swap","TestSwap","","","test_swap[USDT-1-DODO]",""
