"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 18 02:36:18 UTC 2022","Mon Apr 18 02:36:18 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_001",""
"failed","Mon Apr 18 02:36:18 UTC 2022","Mon Apr 18 02:36:18 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_002",""
"passed","Mon Apr 18 02:36:58 UTC 2022","Mon Apr 18 02:37:16 UTC 2022","17886","Test.TestCase","test_swap","TestSwap","","","test_swap[USDT-1-DODO]",""
