"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 15 17:43:00 UTC 2022","Fri Apr 15 17:43:00 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_002",""
"broken","Fri Apr 15 17:43:34 UTC 2022","Fri Apr 15 17:43:40 UTC 2022","5315","Test.TestCase","test_swap","TestSwap","","","test_swap[USDT-1-DODO]",""
"passed","Fri Apr 15 17:43:00 UTC 2022","Fri Apr 15 17:43:00 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_001",""
