"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 15 18:47:27 UTC 2022","Fri Apr 15 18:47:27 UTC 2022","1","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_002",""
"passed","Fri Apr 15 18:47:27 UTC 2022","Fri Apr 15 18:47:27 UTC 2022","0","Test.TestCase","test_ceshi","TestCeshi","","","test_ceshi_001",""
"passed","Fri Apr 15 18:48:02 UTC 2022","Fri Apr 15 18:48:18 UTC 2022","15792","Test.TestCase","test_swap","TestSwap","","","test_swap[USDT-1-DODO]",""
